[PiCamera @ factory.py:85][DEBUG] 2017-10-27 15:49:28,257: Logging to: logs/2017_Oct_27/PiCamera/15_49_28.log
[PiCamera @ picamera.py:49][DEBUG] 2017-10-27 15:49:28,299: PiCamera setup
[PiCamera @ picamera.py:60][INFO] 2017-10-27 15:49:28,566: PiCamera initialized: <picamera.camera.PiCamera object at 0x6feb2ac0>
[PiCamera @ picamera.py:137][INFO] 2017-10-27 15:49:28,567: Warming up camera
[PiCamera @ picamera.py:91][INFO] 2017-10-27 15:49:30,597: Recording video on 'videos/2017_Oct_27/NaborisOrchestrator/15_49_28.mp4.h264'
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:49:40,523: [log buffer start]
[DEBUG, 1509133772.9143224]: PiCamera image received: ImageMessage(t=1509133772.9143074, n=18)
[DEBUG, 1509133772.9468899]: PiCamera image received: ImageMessage(t=1509133772.946876, n=19)
[DEBUG, 1509133773.0251753]: PiCamera image received: ImageMessage(t=1509133773.0251608, n=20)
[DEBUG, 1509133773.0578253]: PiCamera image received: ImageMessage(t=1509133773.0578105, n=21)
[DEBUG, 1509133773.0901256]: PiCamera image received: ImageMessage(t=1509133773.0901113, n=22)
[DEBUG, 1509133773.1233342]: PiCamera image received: ImageMessage(t=1509133773.1233184, n=23)
[DEBUG, 1509133773.1555567]: PiCamera image received: ImageMessage(t=1509133773.1555429, n=24)
[DEBUG, 1509133773.188011]: PiCamera image received: ImageMessage(t=1509133773.1879961, n=25)
[DEBUG, 1509133773.2207778]: PiCamera image received: ImageMessage(t=1509133773.2207634, n=26)
[DEBUG, 1509133773.253441]: PiCamera image received: ImageMessage(t=1509133773.2534268, n=27)
[DEBUG, 1509133773.2863703]: PiCamera image received: ImageMessage(t=1509133773.286356, n=28)
[DEBUG, 1509133773.3186665]: PiCamera image received: ImageMessage(t=1509133773.3186529, n=29)
[DEBUG, 1509133773.3516533]: PiCamera image received: ImageMessage(t=1509133773.3516393, n=30)
[DEBUG, 1509133773.3842723]: PiCamera image received: ImageMessage(t=1509133773.3842585, n=31)
[DEBUG, 1509133773.4298217]: PiCamera image received: ImageMessage(t=1509133773.4298077, n=32)
[DEBUG, 1509133773.4621751]: PiCamera image received: ImageMessage(t=1509133773.4621608, n=33)
[DEBUG, 1509133773.4959598]: PiCamera image received: ImageMessage(t=1509133773.495946, n=34)
[DEBUG, 1509133773.5615826]: PiCamera image received: ImageMessage(t=1509133773.5615683, n=35)
[DEBUG, 1509133773.5945303]: PiCamera image received: ImageMessage(t=1509133773.5945158, n=36)
[DEBUG, 1509133773.627482]: PiCamera image received: ImageMessage(t=1509133773.6274679, n=37)
[DEBUG, 1509133773.6605294]: PiCamera image received: ImageMessage(t=1509133773.660515, n=38)
[DEBUG, 1509133773.7258334]: PiCamera image received: ImageMessage(t=1509133773.725819, n=39)
[DEBUG, 1509133773.758725]: PiCamera image received: ImageMessage(t=1509133773.758711, n=40)
[DEBUG, 1509133773.8298645]: PiCamera image received: ImageMessage(t=1509133773.82985, n=41)
[DEBUG, 1509133773.8664825]: PiCamera image received: ImageMessage(t=1509133773.8664682, n=42)
[DEBUG, 1509133773.9000728]: PiCamera image received: ImageMessage(t=1509133773.9000583, n=43)
[DEBUG, 1509133773.9328132]: PiCamera image received: ImageMessage(t=1509133773.9327981, n=44)
[DEBUG, 1509133773.965406]: PiCamera image received: ImageMessage(t=1509133773.9653919, n=45)
[DEBUG, 1509133773.9981318]: PiCamera image received: ImageMessage(t=1509133773.998117, n=46)
[DEBUG, 1509133774.0688176]: PiCamera image received: ImageMessage(t=1509133774.0688033, n=47)
[DEBUG, 1509133774.1890342]: PiCamera image received: ImageMessage(t=1509133774.1890192, n=48)
[DEBUG, 1509133774.346772]: PiCamera image received: ImageMessage(t=1509133774.3467586, n=49)
[DEBUG, 1509133774.417476]: PiCamera image received: ImageMessage(t=1509133774.4174476, n=50)
[DEBUG, 1509133774.5098588]: PiCamera image received: ImageMessage(t=1509133774.5098455, n=51)
[DEBUG, 1509133774.5425444]: PiCamera image received: ImageMessage(t=1509133774.5425296, n=52)
[DEBUG, 1509133774.611034]: PiCamera image received: ImageMessage(t=1509133774.6110196, n=53)
[DEBUG, 1509133774.6786466]: PiCamera image received: ImageMessage(t=1509133774.6786306, n=54)
[DEBUG, 1509133774.7445827]: PiCamera image received: ImageMessage(t=1509133774.7445612, n=55)
[DEBUG, 1509133774.813664]: PiCamera image received: ImageMessage(t=1509133774.813647, n=56)
[DEBUG, 1509133774.849198]: PiCamera image received: ImageMessage(t=1509133774.8491805, n=57)
[DEBUG, 1509133774.9179735]: PiCamera image received: ImageMessage(t=1509133774.9179537, n=58)
[DEBUG, 1509133774.9875586]: PiCamera image received: ImageMessage(t=1509133774.987545, n=59)
[DEBUG, 1509133775.0523474]: PiCamera image received: ImageMessage(t=1509133775.052333, n=60)
[DEBUG, 1509133775.086004]: PiCamera image received: ImageMessage(t=1509133775.0859888, n=61)
[DEBUG, 1509133775.1512299]: PiCamera image received: ImageMessage(t=1509133775.1512156, n=62)
[DEBUG, 1509133775.1840885]: PiCamera image received: ImageMessage(t=1509133775.1840737, n=63)
[DEBUG, 1509133775.2493706]: PiCamera image received: ImageMessage(t=1509133775.2493567, n=64)
[DEBUG, 1509133775.2835836]: PiCamera image received: ImageMessage(t=1509133775.2835686, n=65)
[DEBUG, 1509133775.31612]: PiCamera image received: ImageMessage(t=1509133775.3161058, n=66)
[DEBUG, 1509133775.3490849]: PiCamera image received: ImageMessage(t=1509133775.3490722, n=67)
[DEBUG, 1509133775.382006]: PiCamera image received: ImageMessage(t=1509133775.3819923, n=68)
[DEBUG, 1509133775.4144022]: PiCamera image received: ImageMessage(t=1509133775.4143867, n=69)
[DEBUG, 1509133775.467693]: PiCamera image received: ImageMessage(t=1509133775.4676785, n=71)
[DEBUG, 1509133775.533455]: PiCamera image received: ImageMessage(t=1509133775.5334373, n=72)
[DEBUG, 1509133775.5656807]: PiCamera image received: ImageMessage(t=1509133775.5656667, n=73)
[DEBUG, 1509133775.5997517]: PiCamera image received: ImageMessage(t=1509133775.5997367, n=74)
[DEBUG, 1509133775.6319485]: PiCamera image received: ImageMessage(t=1509133775.631934, n=75)
[DEBUG, 1509133775.6961205]: PiCamera image received: ImageMessage(t=1509133775.6961052, n=76)
[DEBUG, 1509133775.7289488]: PiCamera image received: ImageMessage(t=1509133775.7289338, n=77)
[DEBUG, 1509133775.799057]: PiCamera image received: ImageMessage(t=1509133775.7990427, n=78)
[DEBUG, 1509133775.866618]: PiCamera image received: ImageMessage(t=1509133775.8666034, n=79)
[DEBUG, 1509133775.8998878]: PiCamera image received: ImageMessage(t=1509133775.8998713, n=80)
[DEBUG, 1509133775.9324913]: PiCamera image received: ImageMessage(t=1509133775.9324768, n=81)
[DEBUG, 1509133775.9648652]: PiCamera image received: ImageMessage(t=1509133775.964851, n=82)
[DEBUG, 1509133776.0297]: PiCamera image received: ImageMessage(t=1509133776.0296857, n=83)
[DEBUG, 1509133776.0700185]: PiCamera image received: ImageMessage(t=1509133776.07001, n=84)
[DEBUG, 1509133776.135236]: PiCamera image received: ImageMessage(t=1509133776.1352277, n=85)
[DEBUG, 1509133776.1734958]: PiCamera image received: ImageMessage(t=1509133776.173482, n=86)
[DEBUG, 1509133776.2165275]: PiCamera image received: ImageMessage(t=1509133776.2164943, n=88)
[DEBUG, 1509133776.2817483]: PiCamera image received: ImageMessage(t=1509133776.281734, n=89)
[DEBUG, 1509133776.3147955]: PiCamera image received: ImageMessage(t=1509133776.3147814, n=90)
[DEBUG, 1509133776.3795724]: PiCamera image received: ImageMessage(t=1509133776.3795593, n=91)
[DEBUG, 1509133776.4145935]: PiCamera image received: ImageMessage(t=1509133776.4145787, n=92)
[DEBUG, 1509133776.4483798]: PiCamera image received: ImageMessage(t=1509133776.448365, n=93)
[DEBUG, 1509133776.4831975]: PiCamera image received: ImageMessage(t=1509133776.4831839, n=94)
[DEBUG, 1509133776.520496]: PiCamera image received: ImageMessage(t=1509133776.52048, n=95)
[DEBUG, 1509133776.5528178]: PiCamera image received: ImageMessage(t=1509133776.5528045, n=96)
[DEBUG, 1509133776.6248622]: PiCamera image received: ImageMessage(t=1509133776.624845, n=97)
[DEBUG, 1509133776.6664298]: PiCamera image received: ImageMessage(t=1509133776.6664145, n=98)
[DEBUG, 1509133776.6989543]: PiCamera image received: ImageMessage(t=1509133776.6989396, n=99)
[DEBUG, 1509133776.770927]: PiCamera image received: ImageMessage(t=1509133776.7709117, n=100)
[DEBUG, 1509133776.8037252]: PiCamera image received: ImageMessage(t=1509133776.803711, n=101)
[DEBUG, 1509133776.836661]: PiCamera image received: ImageMessage(t=1509133776.8366466, n=102)
[DEBUG, 1509133776.869112]: PiCamera image received: ImageMessage(t=1509133776.86908, n=103)
[DEBUG, 1509133776.908463]: PiCamera image received: ImageMessage(t=1509133776.9084477, n=104)
[DEBUG, 1509133776.9740565]: PiCamera image received: ImageMessage(t=1509133776.9740417, n=105)
[DEBUG, 1509133777.0100229]: PiCamera image received: ImageMessage(t=1509133777.0100076, n=106)
[DEBUG, 1509133777.0455031]: PiCamera image received: ImageMessage(t=1509133777.0454879, n=107)
[DEBUG, 1509133777.1172464]: PiCamera image received: ImageMessage(t=1509133777.117232, n=108)
[DEBUG, 1509133777.1500442]: PiCamera image received: ImageMessage(t=1509133777.1500297, n=109)
[DEBUG, 1509133777.2223125]: PiCamera image received: ImageMessage(t=1509133777.2222977, n=110)
[DEBUG, 1509133777.257296]: PiCamera image received: ImageMessage(t=1509133777.2572827, n=111)
[DEBUG, 1509133777.3294206]: PiCamera image received: ImageMessage(t=1509133777.3294063, n=112)
[DEBUG, 1509133777.3718026]: PiCamera image received: ImageMessage(t=1509133777.3717892, n=113)
[DEBUG, 1509133777.4045389]: PiCamera image received: ImageMessage(t=1509133777.4045236, n=114)
[DEBUG, 1509133777.4370582]: PiCamera image received: ImageMessage(t=1509133777.4370432, n=115)
[DEBUG, 1509133777.4700377]: PiCamera image received: ImageMessage(t=1509133777.4700234, n=116)
[DEBUG, 1509133777.502596]: PiCamera image received: ImageMessage(t=1509133777.5025816, n=117)
[DEBUG, 1509133777.5707932]: PiCamera image received: ImageMessage(t=1509133777.5707784, n=118)
[DEBUG, 1509133777.650244]: PiCamera image received: ImageMessage(t=1509133777.6502302, n=120)
[DEBUG, 1509133777.6832504]: PiCamera image received: ImageMessage(t=1509133777.6832364, n=121)
[DEBUG, 1509133777.7156322]: PiCamera image received: ImageMessage(t=1509133777.7156188, n=122)
[DEBUG, 1509133777.7477176]: PiCamera image received: ImageMessage(t=1509133777.7477043, n=123)
[DEBUG, 1509133777.8130686]: PiCamera image received: ImageMessage(t=1509133777.8130527, n=124)
[DEBUG, 1509133777.8456945]: PiCamera image received: ImageMessage(t=1509133777.8456802, n=125)
[DEBUG, 1509133777.9102068]: PiCamera image received: ImageMessage(t=1509133777.910193, n=126)
[DEBUG, 1509133777.9431565]: PiCamera image received: ImageMessage(t=1509133777.9431436, n=127)
[DEBUG, 1509133777.9754279]: PiCamera image received: ImageMessage(t=1509133777.975413, n=128)
[DEBUG, 1509133778.0076616]: PiCamera image received: ImageMessage(t=1509133778.0076454, n=129)
[DEBUG, 1509133778.040914]: PiCamera image received: ImageMessage(t=1509133778.0408995, n=130)
[DEBUG, 1509133778.1166413]: PiCamera image received: ImageMessage(t=1509133778.116627, n=131)
[DEBUG, 1509133778.1488826]: PiCamera image received: ImageMessage(t=1509133778.1488686, n=132)
[DEBUG, 1509133778.2140884]: PiCamera image received: ImageMessage(t=1509133778.2140744, n=133)
[DEBUG, 1509133778.2504945]: PiCamera image received: ImageMessage(t=1509133778.2504795, n=134)
[DEBUG, 1509133778.2861326]: PiCamera image received: ImageMessage(t=1509133778.2861197, n=135)
[DEBUG, 1509133778.350999]: PiCamera image received: ImageMessage(t=1509133778.3509839, n=136)
[DEBUG, 1509133778.3843877]: PiCamera image received: ImageMessage(t=1509133778.3843713, n=137)
[DEBUG, 1509133778.417798]: PiCamera image received: ImageMessage(t=1509133778.4177837, n=138)
[DEBUG, 1509133778.4563227]: PiCamera image received: ImageMessage(t=1509133778.4563074, n=139)
[DEBUG, 1509133778.4888604]: PiCamera image received: ImageMessage(t=1509133778.488846, n=140)
[DEBUG, 1509133778.5215416]: PiCamera image received: ImageMessage(t=1509133778.5215268, n=141)
[DEBUG, 1509133778.5885308]: PiCamera image received: ImageMessage(t=1509133778.588517, n=143)
[DEBUG, 1509133778.653555]: PiCamera image received: ImageMessage(t=1509133778.653541, n=144)
[DEBUG, 1509133778.6862767]: PiCamera image received: ImageMessage(t=1509133778.6862628, n=145)
[DEBUG, 1509133778.7886522]: PiCamera image received: ImageMessage(t=1509133778.788636, n=146)
[DEBUG, 1509133778.8557003]: PiCamera image received: ImageMessage(t=1509133778.8556843, n=147)
[DEBUG, 1509133778.926972]: PiCamera image received: ImageMessage(t=1509133778.926957, n=148)
[DEBUG, 1509133778.9594865]: PiCamera image received: ImageMessage(t=1509133778.9594717, n=149)
[DEBUG, 1509133778.9943206]: PiCamera image received: ImageMessage(t=1509133778.994306, n=150)
[DEBUG, 1509133779.0637422]: PiCamera image received: ImageMessage(t=1509133779.0637274, n=151)
[DEBUG, 1509133779.0958064]: PiCamera image received: ImageMessage(t=1509133779.0957932, n=152)
[DEBUG, 1509133779.163073]: PiCamera image received: ImageMessage(t=1509133779.1630573, n=153)
[DEBUG, 1509133779.1966443]: PiCamera image received: ImageMessage(t=1509133779.1966293, n=154)
[DEBUG, 1509133779.2299259]: PiCamera image received: ImageMessage(t=1509133779.2299125, n=155)
[DEBUG, 1509133779.3030412]: PiCamera image received: ImageMessage(t=1509133779.3030279, n=156)
[DEBUG, 1509133779.371655]: PiCamera image received: ImageMessage(t=1509133779.3716416, n=157)
[DEBUG, 1509133779.4048817]: PiCamera image received: ImageMessage(t=1509133779.4048681, n=158)
[DEBUG, 1509133779.436955]: PiCamera image received: ImageMessage(t=1509133779.4369411, n=159)
[DEBUG, 1509133779.5042908]: PiCamera image received: ImageMessage(t=1509133779.5042768, n=160)
[DEBUG, 1509133779.5367613]: PiCamera image received: ImageMessage(t=1509133779.5367477, n=161)
[DEBUG, 1509133779.5690887]: PiCamera image received: ImageMessage(t=1509133779.5690749, n=162)
[DEBUG, 1509133779.602355]: PiCamera image received: ImageMessage(t=1509133779.602342, n=163)
[DEBUG, 1509133779.6346838]: PiCamera image received: ImageMessage(t=1509133779.6346695, n=164)
[DEBUG, 1509133779.7022893]: PiCamera image received: ImageMessage(t=1509133779.702272, n=165)
[DEBUG, 1509133779.7688103]: PiCamera image received: ImageMessage(t=1509133779.7687955, n=166)
[DEBUG, 1509133779.844402]: PiCamera image received: ImageMessage(t=1509133779.8443866, n=167)
[DEBUG, 1509133779.917083]: PiCamera image received: ImageMessage(t=1509133779.9170663, n=168)
[DEBUG, 1509133779.9500768]: PiCamera image received: ImageMessage(t=1509133779.950063, n=169)
[DEBUG, 1509133780.021902]: PiCamera image received: ImageMessage(t=1509133780.0218873, n=170)
[DEBUG, 1509133780.0930586]: PiCamera image received: ImageMessage(t=1509133780.0930436, n=171)
[DEBUG, 1509133780.125427]: PiCamera image received: ImageMessage(t=1509133780.125412, n=172)
[DEBUG, 1509133780.158432]: PiCamera image received: ImageMessage(t=1509133780.1584175, n=173)
[DEBUG, 1509133780.2239857]: PiCamera image received: ImageMessage(t=1509133780.2239718, n=174)
[DEBUG, 1509133780.2571259]: PiCamera image received: ImageMessage(t=1509133780.2571115, n=175)
[DEBUG, 1509133780.290217]: PiCamera image received: ImageMessage(t=1509133780.2902021, n=176)
[DEBUG, 1509133780.3234742]: PiCamera image received: ImageMessage(t=1509133780.32346, n=177)
[DEBUG, 1509133780.388424]: PiCamera image received: ImageMessage(t=1509133780.3884091, n=178)
[DEBUG, 1509133780.4573226]: PiCamera image received: ImageMessage(t=1509133780.4573088, n=179)
[DEBUG, 1509133780.5234847]: PiCamera image received: ImageMessage(t=1509133780.5234704, n=180)
[log buffer end]
[PiCamera @ node.py:66][DEBUG] 2017-10-27 15:49:40,525: logging message buffer (len=16451)
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:49:49,337: [log buffer start]
[DEBUG, 1509133780.5599878]: PiCamera image received: ImageMessage(t=1509133780.559973, n=181)
[DEBUG, 1509133780.5936103]: PiCamera image received: ImageMessage(t=1509133780.593595, n=182)
[DEBUG, 1509133780.6268003]: PiCamera image received: ImageMessage(t=1509133780.626786, n=183)
[DEBUG, 1509133780.6592782]: PiCamera image received: ImageMessage(t=1509133780.6592627, n=184)
[DEBUG, 1509133780.692197]: PiCamera image received: ImageMessage(t=1509133780.692183, n=185)
[DEBUG, 1509133780.775492]: PiCamera image received: ImageMessage(t=1509133780.775477, n=186)
[DEBUG, 1509133780.808459]: PiCamera image received: ImageMessage(t=1509133780.808445, n=187)
[DEBUG, 1509133780.9094398]: PiCamera image received: ImageMessage(t=1509133780.9094238, n=188)
[DEBUG, 1509133780.9751353]: PiCamera image received: ImageMessage(t=1509133780.975118, n=189)
[DEBUG, 1509133781.0077515]: PiCamera image received: ImageMessage(t=1509133781.007736, n=190)
[DEBUG, 1509133781.0733607]: PiCamera image received: ImageMessage(t=1509133781.0733416, n=191)
[DEBUG, 1509133781.1066341]: PiCamera image received: ImageMessage(t=1509133781.1066191, n=192)
[DEBUG, 1509133781.1931813]: PiCamera image received: ImageMessage(t=1509133781.193165, n=193)
[DEBUG, 1509133781.2278414]: PiCamera image received: ImageMessage(t=1509133781.2278264, n=194)
[DEBUG, 1509133781.2927992]: PiCamera image received: ImageMessage(t=1509133781.2927852, n=195)
[DEBUG, 1509133781.325514]: PiCamera image received: ImageMessage(t=1509133781.325498, n=196)
[DEBUG, 1509133781.3945189]: PiCamera image received: ImageMessage(t=1509133781.3945043, n=197)
[DEBUG, 1509133781.4611602]: PiCamera image received: ImageMessage(t=1509133781.4611454, n=198)
[DEBUG, 1509133781.4941611]: PiCamera image received: ImageMessage(t=1509133781.4941468, n=199)
[DEBUG, 1509133781.5276043]: PiCamera image received: ImageMessage(t=1509133781.5275881, n=200)
[DEBUG, 1509133781.5609531]: PiCamera image received: ImageMessage(t=1509133781.560938, n=201)
[DEBUG, 1509133781.6299245]: PiCamera image received: ImageMessage(t=1509133781.6299102, n=202)
[DEBUG, 1509133781.6627572]: PiCamera image received: ImageMessage(t=1509133781.662743, n=203)
[DEBUG, 1509133781.7273412]: PiCamera image received: ImageMessage(t=1509133781.7273266, n=204)
[DEBUG, 1509133781.759844]: PiCamera image received: ImageMessage(t=1509133781.759829, n=205)
[DEBUG, 1509133781.7923582]: PiCamera image received: ImageMessage(t=1509133781.7923431, n=206)
[DEBUG, 1509133781.8663476]: PiCamera image received: ImageMessage(t=1509133781.8663335, n=207)
[DEBUG, 1509133781.8988533]: PiCamera image received: ImageMessage(t=1509133781.898839, n=208)
[DEBUG, 1509133781.9320245]: PiCamera image received: ImageMessage(t=1509133781.9320102, n=209)
[DEBUG, 1509133781.965402]: PiCamera image received: ImageMessage(t=1509133781.9653878, n=210)
[DEBUG, 1509133782.0342767]: PiCamera image received: ImageMessage(t=1509133782.0342622, n=211)
[DEBUG, 1509133782.1007705]: PiCamera image received: ImageMessage(t=1509133782.1007552, n=212)
[DEBUG, 1509133782.1415992]: PiCamera image received: ImageMessage(t=1509133782.1415849, n=213)
[DEBUG, 1509133782.176377]: PiCamera image received: ImageMessage(t=1509133782.1763625, n=214)
[DEBUG, 1509133782.209228]: PiCamera image received: ImageMessage(t=1509133782.2092142, n=215)
[DEBUG, 1509133782.2753081]: PiCamera image received: ImageMessage(t=1509133782.2752943, n=216)
[DEBUG, 1509133782.3083344]: PiCamera image received: ImageMessage(t=1509133782.308321, n=217)
[DEBUG, 1509133782.3450408]: PiCamera image received: ImageMessage(t=1509133782.3450265, n=218)
[DEBUG, 1509133782.4114404]: PiCamera image received: ImageMessage(t=1509133782.4114258, n=219)
[DEBUG, 1509133782.446851]: PiCamera image received: ImageMessage(t=1509133782.4468365, n=220)
[DEBUG, 1509133782.4803889]: PiCamera image received: ImageMessage(t=1509133782.480374, n=221)
[DEBUG, 1509133782.5141628]: PiCamera image received: ImageMessage(t=1509133782.5141487, n=222)
[DEBUG, 1509133782.587245]: PiCamera image received: ImageMessage(t=1509133782.5872304, n=223)
[DEBUG, 1509133782.6205082]: PiCamera image received: ImageMessage(t=1509133782.6204946, n=224)
[DEBUG, 1509133782.6886597]: PiCamera image received: ImageMessage(t=1509133782.6886456, n=225)
[DEBUG, 1509133782.7218785]: PiCamera image received: ImageMessage(t=1509133782.7218647, n=226)
[DEBUG, 1509133782.787138]: PiCamera image received: ImageMessage(t=1509133782.7871232, n=227)
[DEBUG, 1509133782.8194573]: PiCamera image received: ImageMessage(t=1509133782.819443, n=228)
[DEBUG, 1509133782.8840082]: PiCamera image received: ImageMessage(t=1509133782.8839939, n=229)
[DEBUG, 1509133782.9503543]: PiCamera image received: ImageMessage(t=1509133782.9503396, n=230)
[DEBUG, 1509133783.021562]: PiCamera image received: ImageMessage(t=1509133783.0215278, n=231)
[DEBUG, 1509133783.0936842]: PiCamera image received: ImageMessage(t=1509133783.0936687, n=232)
[DEBUG, 1509133783.127637]: PiCamera image received: ImageMessage(t=1509133783.1276226, n=233)
[DEBUG, 1509133783.1932147]: PiCamera image received: ImageMessage(t=1509133783.1932003, n=234)
[DEBUG, 1509133783.2662241]: PiCamera image received: ImageMessage(t=1509133783.2662096, n=235)
[DEBUG, 1509133783.3038967]: PiCamera image received: ImageMessage(t=1509133783.3038821, n=236)
[DEBUG, 1509133783.3370454]: PiCamera image received: ImageMessage(t=1509133783.3370297, n=237)
[DEBUG, 1509133783.4042025]: PiCamera image received: ImageMessage(t=1509133783.4041874, n=238)
[DEBUG, 1509133783.437023]: PiCamera image received: ImageMessage(t=1509133783.4370081, n=239)
[DEBUG, 1509133783.5019953]: PiCamera image received: ImageMessage(t=1509133783.5019808, n=240)
[DEBUG, 1509133783.5691535]: PiCamera image received: ImageMessage(t=1509133783.5691397, n=241)
[DEBUG, 1509133783.602239]: PiCamera image received: ImageMessage(t=1509133783.6022234, n=242)
[DEBUG, 1509133783.6354303]: PiCamera image received: ImageMessage(t=1509133783.635416, n=243)
[DEBUG, 1509133783.7003593]: PiCamera image received: ImageMessage(t=1509133783.7003455, n=244)
[DEBUG, 1509133783.7725947]: PiCamera image received: ImageMessage(t=1509133783.7725806, n=245)
[DEBUG, 1509133783.8049648]: PiCamera image received: ImageMessage(t=1509133783.8049517, n=246)
[DEBUG, 1509133783.8379316]: PiCamera image received: ImageMessage(t=1509133783.8379178, n=247)
[DEBUG, 1509133783.913347]: PiCamera image received: ImageMessage(t=1509133783.9133327, n=248)
[DEBUG, 1509133783.9833493]: PiCamera image received: ImageMessage(t=1509133783.9833345, n=249)
[DEBUG, 1509133784.0157645]: PiCamera image received: ImageMessage(t=1509133784.0157502, n=250)
[DEBUG, 1509133784.0922878]: PiCamera image received: ImageMessage(t=1509133784.0922732, n=251)
[DEBUG, 1509133784.1586661]: PiCamera image received: ImageMessage(t=1509133784.1586518, n=252)
[DEBUG, 1509133784.1918325]: PiCamera image received: ImageMessage(t=1509133784.1918185, n=253)
[DEBUG, 1509133784.2240627]: PiCamera image received: ImageMessage(t=1509133784.224049, n=254)
[DEBUG, 1509133784.3017108]: PiCamera image received: ImageMessage(t=1509133784.301696, n=255)
[DEBUG, 1509133784.3345513]: PiCamera image received: ImageMessage(t=1509133784.3345382, n=256)
[DEBUG, 1509133784.3667586]: PiCamera image received: ImageMessage(t=1509133784.366744, n=257)
[DEBUG, 1509133784.4009895]: PiCamera image received: ImageMessage(t=1509133784.4009745, n=258)
[DEBUG, 1509133784.468835]: PiCamera image received: ImageMessage(t=1509133784.4688182, n=259)
[DEBUG, 1509133784.5340588]: PiCamera image received: ImageMessage(t=1509133784.5340452, n=260)
[DEBUG, 1509133784.5721788]: PiCamera image received: ImageMessage(t=1509133784.5721648, n=261)
[DEBUG, 1509133784.6494586]: PiCamera image received: ImageMessage(t=1509133784.649419, n=262)
[DEBUG, 1509133784.6822035]: PiCamera image received: ImageMessage(t=1509133784.6821904, n=263)
[DEBUG, 1509133784.7146125]: PiCamera image received: ImageMessage(t=1509133784.7145984, n=264)
[DEBUG, 1509133784.760198]: PiCamera image received: ImageMessage(t=1509133784.7601836, n=265)
[DEBUG, 1509133784.838503]: PiCamera image received: ImageMessage(t=1509133784.8384874, n=266)
[DEBUG, 1509133784.8716037]: PiCamera image received: ImageMessage(t=1509133784.8715897, n=267)
[DEBUG, 1509133784.9046838]: PiCamera image received: ImageMessage(t=1509133784.9046698, n=268)
[DEBUG, 1509133784.9704776]: PiCamera image received: ImageMessage(t=1509133784.9704623, n=269)
[DEBUG, 1509133785.007788]: PiCamera image received: ImageMessage(t=1509133785.0077744, n=270)
[DEBUG, 1509133785.0731]: PiCamera image received: ImageMessage(t=1509133785.073085, n=271)
[DEBUG, 1509133785.145983]: PiCamera image received: ImageMessage(t=1509133785.1459682, n=273)
[DEBUG, 1509133785.2139394]: PiCamera image received: ImageMessage(t=1509133785.2139032, n=274)
[DEBUG, 1509133785.246748]: PiCamera image received: ImageMessage(t=1509133785.246733, n=275)
[DEBUG, 1509133785.3206177]: PiCamera image received: ImageMessage(t=1509133785.3206024, n=276)
[DEBUG, 1509133785.3859208]: PiCamera image received: ImageMessage(t=1509133785.3859065, n=277)
[DEBUG, 1509133785.4585576]: PiCamera image received: ImageMessage(t=1509133785.4585428, n=279)
[DEBUG, 1509133785.5230298]: PiCamera image received: ImageMessage(t=1509133785.5230153, n=280)
