[PiCamera @ factory.py:85][DEBUG] 2017-10-27 15:47:23,499: Logging to: logs/2017_Oct_27/PiCamera/15_47_23.log
[PiCamera @ picamera.py:49][DEBUG] 2017-10-27 15:47:23,542: PiCamera setup
[PiCamera @ picamera.py:60][INFO] 2017-10-27 15:47:23,808: PiCamera initialized: <picamera.camera.PiCamera object at 0x6ff52ac0>
[PiCamera @ picamera.py:137][INFO] 2017-10-27 15:47:23,810: Warming up camera
[PiCamera @ picamera.py:91][INFO] 2017-10-27 15:47:25,844: Recording video on 'videos/2017_Oct_27/NaborisOrchestrator/15_47_23.mp4.h264'
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:47:34,717: [log buffer start]
[DEBUG, 1509133649.0013866]: PiCamera image received: ImageMessage(t=1509133649.0013723, n=38)
[DEBUG, 1509133649.0724962]: PiCamera image received: ImageMessage(t=1509133649.0724792, n=39)
[DEBUG, 1509133649.104817]: PiCamera image received: ImageMessage(t=1509133649.1048028, n=40)
[DEBUG, 1509133649.1403458]: PiCamera image received: ImageMessage(t=1509133649.1403306, n=41)
[DEBUG, 1509133649.1731815]: PiCamera image received: ImageMessage(t=1509133649.173166, n=42)
[DEBUG, 1509133649.2065172]: PiCamera image received: ImageMessage(t=1509133649.2065022, n=43)
[DEBUG, 1509133649.2394755]: PiCamera image received: ImageMessage(t=1509133649.2394612, n=44)
[DEBUG, 1509133649.271763]: PiCamera image received: ImageMessage(t=1509133649.2717474, n=45)
[DEBUG, 1509133649.304586]: PiCamera image received: ImageMessage(t=1509133649.3045719, n=46)
[DEBUG, 1509133649.337686]: PiCamera image received: ImageMessage(t=1509133649.3376713, n=47)
[DEBUG, 1509133649.3712842]: PiCamera image received: ImageMessage(t=1509133649.3712697, n=48)
[DEBUG, 1509133649.403768]: PiCamera image received: ImageMessage(t=1509133649.4037528, n=49)
[DEBUG, 1509133649.4362946]: PiCamera image received: ImageMessage(t=1509133649.4362803, n=50)
[DEBUG, 1509133649.4687319]: PiCamera image received: ImageMessage(t=1509133649.4687166, n=51)
[DEBUG, 1509133649.5008857]: PiCamera image received: ImageMessage(t=1509133649.500871, n=52)
[DEBUG, 1509133649.5414543]: PiCamera image received: ImageMessage(t=1509133649.5414398, n=53)
[DEBUG, 1509133649.5737076]: PiCamera image received: ImageMessage(t=1509133649.5736923, n=54)
[DEBUG, 1509133649.6086268]: PiCamera image received: ImageMessage(t=1509133649.6086123, n=55)
[DEBUG, 1509133649.6425526]: PiCamera image received: ImageMessage(t=1509133649.6425369, n=57)
[DEBUG, 1509133649.6752565]: PiCamera image received: ImageMessage(t=1509133649.675242, n=58)
[DEBUG, 1509133649.7086656]: PiCamera image received: ImageMessage(t=1509133649.7086487, n=59)
[DEBUG, 1509133649.7435267]: PiCamera image received: ImageMessage(t=1509133649.7435088, n=60)
[DEBUG, 1509133649.8106675]: PiCamera image received: ImageMessage(t=1509133649.8106525, n=61)
[DEBUG, 1509133649.8752975]: PiCamera image received: ImageMessage(t=1509133649.8752823, n=62)
[DEBUG, 1509133649.9088368]: PiCamera image received: ImageMessage(t=1509133649.9088225, n=63)
[DEBUG, 1509133649.9419043]: PiCamera image received: ImageMessage(t=1509133649.9418898, n=64)
[DEBUG, 1509133649.9812045]: PiCamera image received: ImageMessage(t=1509133649.9811895, n=65)
[DEBUG, 1509133650.014219]: PiCamera image received: ImageMessage(t=1509133650.0142055, n=66)
[DEBUG, 1509133650.046703]: PiCamera image received: ImageMessage(t=1509133650.0466897, n=67)
[DEBUG, 1509133650.0795107]: PiCamera image received: ImageMessage(t=1509133650.0794961, n=68)
[DEBUG, 1509133650.1126738]: PiCamera image received: ImageMessage(t=1509133650.11266, n=69)
[DEBUG, 1509133650.1455348]: PiCamera image received: ImageMessage(t=1509133650.14552, n=70)
[DEBUG, 1509133650.1782696]: PiCamera image received: ImageMessage(t=1509133650.178255, n=71)
[DEBUG, 1509133650.210733]: PiCamera image received: ImageMessage(t=1509133650.2107186, n=72)
[DEBUG, 1509133650.2430444]: PiCamera image received: ImageMessage(t=1509133650.2430294, n=73)
[DEBUG, 1509133650.2760518]: PiCamera image received: ImageMessage(t=1509133650.2760375, n=74)
[DEBUG, 1509133650.3092813]: PiCamera image received: ImageMessage(t=1509133650.3092673, n=75)
[DEBUG, 1509133650.3418589]: PiCamera image received: ImageMessage(t=1509133650.3418443, n=76)
[DEBUG, 1509133650.3741605]: PiCamera image received: ImageMessage(t=1509133650.374146, n=77)
[DEBUG, 1509133650.407012]: PiCamera image received: ImageMessage(t=1509133650.4069974, n=78)
[DEBUG, 1509133650.4397743]: PiCamera image received: ImageMessage(t=1509133650.43976, n=79)
[DEBUG, 1509133650.473832]: PiCamera image received: ImageMessage(t=1509133650.4738095, n=80)
[DEBUG, 1509133650.5458953]: PiCamera image received: ImageMessage(t=1509133650.54588, n=81)
[DEBUG, 1509133650.5786273]: PiCamera image received: ImageMessage(t=1509133650.5786135, n=82)
[DEBUG, 1509133650.611478]: PiCamera image received: ImageMessage(t=1509133650.6114638, n=83)
[DEBUG, 1509133650.64456]: PiCamera image received: ImageMessage(t=1509133650.6445458, n=84)
[DEBUG, 1509133650.677345]: PiCamera image received: ImageMessage(t=1509133650.677331, n=85)
[DEBUG, 1509133650.7164109]: PiCamera image received: ImageMessage(t=1509133650.7163935, n=86)
[DEBUG, 1509133650.9007778]: PiCamera image received: ImageMessage(t=1509133650.900762, n=87)
[DEBUG, 1509133651.0188355]: PiCamera image received: ImageMessage(t=1509133651.0188198, n=88)
[DEBUG, 1509133651.0620673]: PiCamera image received: ImageMessage(t=1509133651.062053, n=89)
[DEBUG, 1509133651.1552377]: PiCamera image received: ImageMessage(t=1509133651.155222, n=90)
[DEBUG, 1509133651.2264688]: PiCamera image received: ImageMessage(t=1509133651.2264538, n=91)
[DEBUG, 1509133651.2941923]: PiCamera image received: ImageMessage(t=1509133651.2941675, n=92)
[DEBUG, 1509133651.3671744]: PiCamera image received: ImageMessage(t=1509133651.3671649, n=93)
[DEBUG, 1509133651.3994453]: PiCamera image received: ImageMessage(t=1509133651.3994365, n=94)
[DEBUG, 1509133651.431854]: PiCamera image received: ImageMessage(t=1509133651.4318447, n=95)
[DEBUG, 1509133651.464548]: PiCamera image received: ImageMessage(t=1509133651.4645402, n=96)
[DEBUG, 1509133651.4973457]: PiCamera image received: ImageMessage(t=1509133651.497337, n=97)
[DEBUG, 1509133651.5340562]: PiCamera image received: ImageMessage(t=1509133651.5340483, n=98)
[DEBUG, 1509133651.567984]: PiCamera image received: ImageMessage(t=1509133651.5679765, n=100)
[DEBUG, 1509133651.600008]: PiCamera image received: ImageMessage(t=1509133651.6000001, n=101)
[DEBUG, 1509133651.6654952]: PiCamera image received: ImageMessage(t=1509133651.665487, n=103)
[DEBUG, 1509133651.6975796]: PiCamera image received: ImageMessage(t=1509133651.6975715, n=104)
[DEBUG, 1509133651.7298226]: PiCamera image received: ImageMessage(t=1509133651.7298152, n=105)
[DEBUG, 1509133651.7638626]: PiCamera image received: ImageMessage(t=1509133651.7637575, n=106)
[DEBUG, 1509133651.7965043]: PiCamera image received: ImageMessage(t=1509133651.7964957, n=107)
[DEBUG, 1509133651.8313813]: PiCamera image received: ImageMessage(t=1509133651.8313718, n=108)
[DEBUG, 1509133651.8643117]: PiCamera image received: ImageMessage(t=1509133651.8643026, n=109)
[DEBUG, 1509133651.8967624]: PiCamera image received: ImageMessage(t=1509133651.8967505, n=110)
[DEBUG, 1509133651.960529]: PiCamera image received: ImageMessage(t=1509133651.9605207, n=111)
[DEBUG, 1509133651.992652]: PiCamera image received: ImageMessage(t=1509133651.9926429, n=112)
[DEBUG, 1509133652.0250847]: PiCamera image received: ImageMessage(t=1509133652.0250607, n=113)
[DEBUG, 1509133652.0580435]: PiCamera image received: ImageMessage(t=1509133652.0580347, n=114)
[DEBUG, 1509133652.0903728]: PiCamera image received: ImageMessage(t=1509133652.0903647, n=115)
[DEBUG, 1509133652.1271837]: PiCamera image received: ImageMessage(t=1509133652.1271749, n=116)
[DEBUG, 1509133652.1607432]: PiCamera image received: ImageMessage(t=1509133652.1607344, n=117)
[DEBUG, 1509133652.193207]: PiCamera image received: ImageMessage(t=1509133652.1931992, n=118)
[DEBUG, 1509133652.225616]: PiCamera image received: ImageMessage(t=1509133652.2256079, n=119)
[DEBUG, 1509133652.2627652]: PiCamera image received: ImageMessage(t=1509133652.26275, n=120)
[DEBUG, 1509133652.2959218]: PiCamera image received: ImageMessage(t=1509133652.2959065, n=121)
[DEBUG, 1509133652.3292067]: PiCamera image received: ImageMessage(t=1509133652.329192, n=122)
[DEBUG, 1509133652.3623059]: PiCamera image received: ImageMessage(t=1509133652.362297, n=123)
[DEBUG, 1509133652.3952732]: PiCamera image received: ImageMessage(t=1509133652.395264, n=124)
[DEBUG, 1509133652.4271402]: PiCamera image received: ImageMessage(t=1509133652.4271324, n=125)
[DEBUG, 1509133652.4599903]: PiCamera image received: ImageMessage(t=1509133652.459981, n=126)
[DEBUG, 1509133652.4928844]: PiCamera image received: ImageMessage(t=1509133652.4928749, n=127)
[DEBUG, 1509133652.52588]: PiCamera image received: ImageMessage(t=1509133652.5258708, n=128)
[DEBUG, 1509133652.5586705]: PiCamera image received: ImageMessage(t=1509133652.5586615, n=129)
[DEBUG, 1509133652.5913641]: PiCamera image received: ImageMessage(t=1509133652.5913548, n=130)
[DEBUG, 1509133652.6281898]: PiCamera image received: ImageMessage(t=1509133652.628181, n=131)
[DEBUG, 1509133652.6613834]: PiCamera image received: ImageMessage(t=1509133652.661375, n=132)
[DEBUG, 1509133652.6939294]: PiCamera image received: ImageMessage(t=1509133652.6939113, n=134)
[DEBUG, 1509133652.7586799]: PiCamera image received: ImageMessage(t=1509133652.758671, n=136)
[DEBUG, 1509133652.7919478]: PiCamera image received: ImageMessage(t=1509133652.791939, n=137)
[DEBUG, 1509133652.8239799]: PiCamera image received: ImageMessage(t=1509133652.8239713, n=138)
[DEBUG, 1509133652.8567505]: PiCamera image received: ImageMessage(t=1509133652.8567424, n=139)
[DEBUG, 1509133652.8894203]: PiCamera image received: ImageMessage(t=1509133652.8894117, n=140)
[DEBUG, 1509133652.9302921]: PiCamera image received: ImageMessage(t=1509133652.9302833, n=141)
[DEBUG, 1509133652.9627583]: PiCamera image received: ImageMessage(t=1509133652.962748, n=142)
[DEBUG, 1509133652.9953635]: PiCamera image received: ImageMessage(t=1509133652.9953551, n=143)
[DEBUG, 1509133653.0281138]: PiCamera image received: ImageMessage(t=1509133653.028106, n=144)
[DEBUG, 1509133653.0616286]: PiCamera image received: ImageMessage(t=1509133653.0616121, n=145)
[DEBUG, 1509133653.0946045]: PiCamera image received: ImageMessage(t=1509133653.0945892, n=146)
[DEBUG, 1509133653.1279027]: PiCamera image received: ImageMessage(t=1509133653.127871, n=147)
[DEBUG, 1509133653.1949418]: PiCamera image received: ImageMessage(t=1509133653.194933, n=148)
[DEBUG, 1509133653.2275674]: PiCamera image received: ImageMessage(t=1509133653.2275596, n=149)
[DEBUG, 1509133653.2599995]: PiCamera image received: ImageMessage(t=1509133653.2599905, n=151)
[DEBUG, 1509133653.3292742]: PiCamera image received: ImageMessage(t=1509133653.3292325, n=153)
[DEBUG, 1509133653.3627715]: PiCamera image received: ImageMessage(t=1509133653.362757, n=154)
[DEBUG, 1509133653.3955956]: PiCamera image received: ImageMessage(t=1509133653.39558, n=155)
[DEBUG, 1509133653.4337776]: PiCamera image received: ImageMessage(t=1509133653.4337437, n=156)
[DEBUG, 1509133653.4746282]: PiCamera image received: ImageMessage(t=1509133653.4746032, n=157)
[DEBUG, 1509133653.5086427]: PiCamera image received: ImageMessage(t=1509133653.5086272, n=158)
[DEBUG, 1509133653.582126]: PiCamera image received: ImageMessage(t=1509133653.582111, n=159)
[DEBUG, 1509133653.617864]: PiCamera image received: ImageMessage(t=1509133653.6178503, n=160)
[DEBUG, 1509133653.652017]: PiCamera image received: ImageMessage(t=1509133653.652002, n=161)
[DEBUG, 1509133653.7174215]: PiCamera image received: ImageMessage(t=1509133653.7174065, n=162)
[DEBUG, 1509133653.7820952]: PiCamera image received: ImageMessage(t=1509133653.78208, n=163)
[DEBUG, 1509133653.8516498]: PiCamera image received: ImageMessage(t=1509133653.8516347, n=164)
[DEBUG, 1509133653.8962054]: PiCamera image received: ImageMessage(t=1509133653.8961906, n=165)
[DEBUG, 1509133653.9293368]: PiCamera image received: ImageMessage(t=1509133653.9293222, n=166)
[DEBUG, 1509133653.9953628]: PiCamera image received: ImageMessage(t=1509133653.995348, n=167)
[DEBUG, 1509133654.0607696]: PiCamera image received: ImageMessage(t=1509133654.0607545, n=168)
[DEBUG, 1509133654.0934656]: PiCamera image received: ImageMessage(t=1509133654.0934508, n=169)
[DEBUG, 1509133654.1576712]: PiCamera image received: ImageMessage(t=1509133654.1576564, n=170)
[DEBUG, 1509133654.1906967]: PiCamera image received: ImageMessage(t=1509133654.190682, n=171)
[DEBUG, 1509133654.2297785]: PiCamera image received: ImageMessage(t=1509133654.229763, n=172)
[DEBUG, 1509133654.2622678]: PiCamera image received: ImageMessage(t=1509133654.2622535, n=173)
[DEBUG, 1509133654.33401]: PiCamera image received: ImageMessage(t=1509133654.333994, n=174)
[DEBUG, 1509133654.3991632]: PiCamera image received: ImageMessage(t=1509133654.3991475, n=175)
[DEBUG, 1509133654.431766]: PiCamera image received: ImageMessage(t=1509133654.43175, n=176)
[DEBUG, 1509133654.5129046]: PiCamera image received: ImageMessage(t=1509133654.5128446, n=177)
[DEBUG, 1509133654.5531056]: PiCamera image received: ImageMessage(t=1509133654.553091, n=178)
[DEBUG, 1509133654.585568]: PiCamera image received: ImageMessage(t=1509133654.5855532, n=179)
[DEBUG, 1509133654.6506906]: PiCamera image received: ImageMessage(t=1509133654.6506763, n=180)
[DEBUG, 1509133654.6840913]: PiCamera image received: ImageMessage(t=1509133654.6840765, n=181)
[DEBUG, 1509133654.716749]: PiCamera image received: ImageMessage(t=1509133654.716733, n=182)
[log buffer end]
[PiCamera @ node.py:66][DEBUG] 2017-10-27 15:47:34,718: logging message buffer (len=16437)
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:47:42,716: [log buffer start]
[DEBUG, 1509133654.7518077]: PiCamera image received: ImageMessage(t=1509133654.7517838, n=183)
[DEBUG, 1509133654.8314626]: PiCamera image received: ImageMessage(t=1509133654.8314476, n=184)
[DEBUG, 1509133654.8643467]: PiCamera image received: ImageMessage(t=1509133654.8643324, n=185)
[DEBUG, 1509133654.9320831]: PiCamera image received: ImageMessage(t=1509133654.932069, n=186)
[DEBUG, 1509133655.0006874]: PiCamera image received: ImageMessage(t=1509133655.0006592, n=187)
[DEBUG, 1509133655.0373554]: PiCamera image received: ImageMessage(t=1509133655.0373425, n=188)
[DEBUG, 1509133655.1105947]: PiCamera image received: ImageMessage(t=1509133655.1105802, n=189)
[DEBUG, 1509133655.1451044]: PiCamera image received: ImageMessage(t=1509133655.1450896, n=190)
[DEBUG, 1509133655.220143]: PiCamera image received: ImageMessage(t=1509133655.2201257, n=191)
[DEBUG, 1509133655.253296]: PiCamera image received: ImageMessage(t=1509133655.253281, n=192)
[DEBUG, 1509133655.3294013]: PiCamera image received: ImageMessage(t=1509133655.3293862, n=193)
[DEBUG, 1509133655.3979223]: PiCamera image received: ImageMessage(t=1509133655.3979075, n=194)
[DEBUG, 1509133655.4315662]: PiCamera image received: ImageMessage(t=1509133655.4315517, n=195)
[DEBUG, 1509133655.5009923]: PiCamera image received: ImageMessage(t=1509133655.500976, n=196)
[DEBUG, 1509133655.5718298]: PiCamera image received: ImageMessage(t=1509133655.5717504, n=197)
[DEBUG, 1509133655.6092274]: PiCamera image received: ImageMessage(t=1509133655.6092145, n=198)
[DEBUG, 1509133655.641645]: PiCamera image received: ImageMessage(t=1509133655.6416297, n=199)
[DEBUG, 1509133655.7088718]: PiCamera image received: ImageMessage(t=1509133655.7088566, n=200)
[DEBUG, 1509133655.7415278]: PiCamera image received: ImageMessage(t=1509133655.7415125, n=201)
[DEBUG, 1509133655.7748024]: PiCamera image received: ImageMessage(t=1509133655.774786, n=202)
[DEBUG, 1509133655.8100119]: PiCamera image received: ImageMessage(t=1509133655.8099976, n=203)
[DEBUG, 1509133655.842806]: PiCamera image received: ImageMessage(t=1509133655.8427913, n=204)
[DEBUG, 1509133655.8753138]: PiCamera image received: ImageMessage(t=1509133655.8752985, n=205)
[DEBUG, 1509133655.9078078]: PiCamera image received: ImageMessage(t=1509133655.9077938, n=206)
[DEBUG, 1509133655.9411333]: PiCamera image received: ImageMessage(t=1509133655.9411147, n=207)
[DEBUG, 1509133655.983423]: PiCamera image received: ImageMessage(t=1509133655.9834085, n=208)
[DEBUG, 1509133656.0288794]: PiCamera image received: ImageMessage(t=1509133656.0288649, n=209)
[DEBUG, 1509133656.0959759]: PiCamera image received: ImageMessage(t=1509133656.0959609, n=210)
[DEBUG, 1509133656.1392665]: PiCamera image received: ImageMessage(t=1509133656.139253, n=211)
[DEBUG, 1509133656.2096689]: PiCamera image received: ImageMessage(t=1509133656.2096539, n=212)
[DEBUG, 1509133656.2419524]: PiCamera image received: ImageMessage(t=1509133656.2419388, n=213)
[DEBUG, 1509133656.2754116]: PiCamera image received: ImageMessage(t=1509133656.2753966, n=214)
[DEBUG, 1509133656.3082833]: PiCamera image received: ImageMessage(t=1509133656.3082688, n=215)
[DEBUG, 1509133656.3734784]: PiCamera image received: ImageMessage(t=1509133656.3734624, n=216)
[DEBUG, 1509133656.4383242]: PiCamera image received: ImageMessage(t=1509133656.4383087, n=217)
[DEBUG, 1509133656.545253]: PiCamera image received: ImageMessage(t=1509133656.5452383, n=218)
[DEBUG, 1509133656.5811725]: PiCamera image received: ImageMessage(t=1509133656.5811582, n=219)
[DEBUG, 1509133656.613708]: PiCamera image received: ImageMessage(t=1509133656.6136928, n=220)
[DEBUG, 1509133656.6549478]: PiCamera image received: ImageMessage(t=1509133656.6549332, n=221)
[DEBUG, 1509133656.7251344]: PiCamera image received: ImageMessage(t=1509133656.7251198, n=222)
[DEBUG, 1509133656.7990038]: PiCamera image received: ImageMessage(t=1509133656.7989876, n=223)
[DEBUG, 1509133656.832177]: PiCamera image received: ImageMessage(t=1509133656.8321621, n=224)
[DEBUG, 1509133656.8655453]: PiCamera image received: ImageMessage(t=1509133656.86553, n=225)
[DEBUG, 1509133656.8983548]: PiCamera image received: ImageMessage(t=1509133656.8983393, n=226)
[DEBUG, 1509133656.931447]: PiCamera image received: ImageMessage(t=1509133656.9314315, n=227)
[DEBUG, 1509133656.963938]: PiCamera image received: ImageMessage(t=1509133656.9639235, n=228)
[DEBUG, 1509133657.0751772]: PiCamera image received: ImageMessage(t=1509133657.0751624, n=229)
[DEBUG, 1509133657.1420624]: PiCamera image received: ImageMessage(t=1509133657.1420467, n=230)
[DEBUG, 1509133657.1743073]: PiCamera image received: ImageMessage(t=1509133657.1742923, n=231)
[DEBUG, 1509133657.2402813]: PiCamera image received: ImageMessage(t=1509133657.240267, n=232)
[DEBUG, 1509133657.2726722]: PiCamera image received: ImageMessage(t=1509133657.2726574, n=233)
[DEBUG, 1509133657.3709242]: PiCamera image received: ImageMessage(t=1509133657.3709087, n=234)
[DEBUG, 1509133657.4363596]: PiCamera image received: ImageMessage(t=1509133657.436344, n=235)
[DEBUG, 1509133657.4699965]: PiCamera image received: ImageMessage(t=1509133657.4699821, n=236)
[DEBUG, 1509133657.536197]: PiCamera image received: ImageMessage(t=1509133657.5361812, n=237)
[DEBUG, 1509133657.6005595]: PiCamera image received: ImageMessage(t=1509133657.600542, n=238)
[DEBUG, 1509133657.673476]: PiCamera image received: ImageMessage(t=1509133657.6734605, n=239)
[DEBUG, 1509133657.7066472]: PiCamera image received: ImageMessage(t=1509133657.7066336, n=240)
[DEBUG, 1509133657.7745938]: PiCamera image received: ImageMessage(t=1509133657.774578, n=241)
[DEBUG, 1509133657.8108225]: PiCamera image received: ImageMessage(t=1509133657.8108072, n=242)
[DEBUG, 1509133657.843977]: PiCamera image received: ImageMessage(t=1509133657.8439624, n=243)
[DEBUG, 1509133657.9087865]: PiCamera image received: ImageMessage(t=1509133657.908772, n=244)
[DEBUG, 1509133657.978945]: PiCamera image received: ImageMessage(t=1509133657.978929, n=245)
[DEBUG, 1509133658.013547]: PiCamera image received: ImageMessage(t=1509133658.0135326, n=246)
[DEBUG, 1509133658.0473666]: PiCamera image received: ImageMessage(t=1509133658.0473516, n=247)
[DEBUG, 1509133658.0804083]: PiCamera image received: ImageMessage(t=1509133658.0803938, n=248)
[DEBUG, 1509133658.1128993]: PiCamera image received: ImageMessage(t=1509133658.1128843, n=249)
[DEBUG, 1509133658.1498072]: PiCamera image received: ImageMessage(t=1509133658.1497319, n=250)
[DEBUG, 1509133658.2145884]: PiCamera image received: ImageMessage(t=1509133658.2145715, n=251)
[DEBUG, 1509133658.2796922]: PiCamera image received: ImageMessage(t=1509133658.279677, n=252)
[DEBUG, 1509133658.3448844]: PiCamera image received: ImageMessage(t=1509133658.34487, n=253)
[DEBUG, 1509133658.3774517]: PiCamera image received: ImageMessage(t=1509133658.3774364, n=254)
[DEBUG, 1509133658.4631283]: PiCamera image received: ImageMessage(t=1509133658.4631138, n=255)
[DEBUG, 1509133658.5073872]: PiCamera image received: ImageMessage(t=1509133658.5073721, n=256)
[DEBUG, 1509133658.5397148]: PiCamera image received: ImageMessage(t=1509133658.5396998, n=257)
[DEBUG, 1509133658.6079347]: PiCamera image received: ImageMessage(t=1509133658.6079187, n=258)
[DEBUG, 1509133658.6466146]: PiCamera image received: ImageMessage(t=1509133658.6465995, n=259)
[DEBUG, 1509133658.6797287]: PiCamera image received: ImageMessage(t=1509133658.6797125, n=260)
[DEBUG, 1509133658.7229042]: PiCamera image received: ImageMessage(t=1509133658.7228897, n=261)
[DEBUG, 1509133658.7560341]: PiCamera image received: ImageMessage(t=1509133658.7560184, n=262)
[DEBUG, 1509133658.790337]: PiCamera image received: ImageMessage(t=1509133658.7903218, n=263)
[DEBUG, 1509133658.8595614]: PiCamera image received: ImageMessage(t=1509133658.8595462, n=264)
[DEBUG, 1509133658.8928533]: PiCamera image received: ImageMessage(t=1509133658.8928385, n=265)
[DEBUG, 1509133658.9259944]: PiCamera image received: ImageMessage(t=1509133658.9259803, n=266)
[DEBUG, 1509133658.9593437]: PiCamera image received: ImageMessage(t=1509133658.9593284, n=267)
[DEBUG, 1509133658.9920263]: PiCamera image received: ImageMessage(t=1509133658.9920113, n=268)
[DEBUG, 1509133659.056843]: PiCamera image received: ImageMessage(t=1509133659.0568297, n=269)
[DEBUG, 1509133659.089439]: PiCamera image received: ImageMessage(t=1509133659.0894048, n=270)
[DEBUG, 1509133659.1606262]: PiCamera image received: ImageMessage(t=1509133659.1606116, n=271)
[DEBUG, 1509133659.1937714]: PiCamera image received: ImageMessage(t=1509133659.1937551, n=272)
[DEBUG, 1509133659.2650793]: PiCamera image received: ImageMessage(t=1509133659.2650645, n=273)
[DEBUG, 1509133659.298052]: PiCamera image received: ImageMessage(t=1509133659.2980373, n=274)
[DEBUG, 1509133659.3703432]: PiCamera image received: ImageMessage(t=1509133659.3703294, n=275)
[DEBUG, 1509133659.4032001]: PiCamera image received: ImageMessage(t=1509133659.4031858, n=276)
[DEBUG, 1509133659.4363544]: PiCamera image received: ImageMessage(t=1509133659.4363396, n=277)
[DEBUG, 1509133659.46895]: PiCamera image received: ImageMessage(t=1509133659.4689357, n=278)
[DEBUG, 1509133659.5354853]: PiCamera image received: ImageMessage(t=1509133659.5354705, n=279)
[DEBUG, 1509133659.601883]: PiCamera image received: ImageMessage(t=1509133659.6018665, n=280)
